,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
26,36,technician,divorced,professional.course,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
27,28,blue-collar,married,basic.6y,unknown,no,no,cellular,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1
28,47,admin.,single,unknown,unknown,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
29,34,admin.,married,university.degree,no,no,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
30,38,technician,married,university.degree,no,yes,yes,cellular,mar,tue,1,999,1,failure,-1.8,92.843,-50.0,1.687,5099.1
31,33,services,married,high.school,unknown,yes,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
32,51,technician,single,university.degree,no,no,no,cellular,jun,fri,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2
33,30,blue-collar,single,basic.4y,unknown,yes,no,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
34,48,technician,married,university.degree,no,no,no,cellular,aug,thu,7,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
35,28,blue-collar,single,basic.9y,no,yes,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
36,36,blue-collar,married,basic.6y,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0
37,46,management,divorced,high.school,no,no,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8
38,31,technician,single,unknown,no,yes,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1
39,20,student,single,unknown,no,no,no,cellular,oct,mon,3,999,3,failure,-1.1,94.601,-49.5,0.977,4963.6
40,35,services,married,high.school,unknown,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1
41,38,blue-collar,married,basic.9y,unknown,unknown,unknown,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1
42,76,retired,married,university.degree,no,no,no,cellular,aug,thu,1,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6
43,45,entrepreneur,divorced,professional.course,no,yes,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
44,32,housemaid,married,basic.4y,no,yes,yes,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1
45,39,management,single,university.degree,unknown,no,no,cellular,may,thu,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
46,32,admin.,married,university.degree,no,no,no,telephone,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.592,5195.8
47,29,admin.,single,basic.9y,no,no,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
48,44,services,married,professional.course,no,no,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1
49,32,services,married,high.school,no,no,yes,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
50,56,retired,married,university.degree,no,yes,no,cellular,jun,wed,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2
51,33,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
52,39,management,married,high.school,no,no,no,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
53,24,technician,married,university.degree,no,yes,yes,cellular,sep,tue,2,3,1,success,-3.4,92.379,-29.8,0.77,5017.5
54,33,admin.,single,university.degree,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
55,58,entrepreneur,divorced,university.degree,no,no,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1
56,29,admin.,single,university.degree,no,yes,no,telephone,jun,fri,27,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
57,31,admin.,married,university.degree,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
58,27,admin.,married,university.degree,no,no,no,telephone,may,wed,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
59,60,admin.,divorced,professional.course,no,yes,no,cellular,sep,wed,1,999,1,failure,-1.1,94.199,-37.5,0.886,4963.6
60,55,entrepreneur,married,professional.course,no,yes,yes,cellular,oct,mon,1,999,2,failure,-3.4,92.431,-26.9,0.739,5017.5
61,37,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
62,52,admin.,married,unknown,no,yes,no,telephone,apr,wed,1,6,1,success,-1.8,93.749,-34.6,0.654,5008.7
63,46,services,married,high.school,no,yes,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
64,42,blue-collar,divorced,basic.6y,no,yes,no,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
65,35,admin.,single,university.degree,no,yes,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
66,49,technician,divorced,unknown,no,yes,yes,cellular,oct,thu,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5
67,29,services,divorced,high.school,no,no,yes,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
68,32,blue-collar,married,basic.9y,no,no,no,cellular,nov,mon,2,5,1,success,-0.1,93.2,-42.0,4.191,5195.8
69,37,self-employed,married,university.degree,no,no,no,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1
70,39,technician,single,professional.course,unknown,no,no,telephone,jun,mon,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
71,51,services,married,high.school,unknown,yes,no,telephone,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
72,28,admin.,single,high.school,no,yes,no,cellular,may,tue,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
73,34,management,married,university.degree,no,yes,no,cellular,may,wed,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
74,31,technician,single,high.school,no,yes,yes,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
75,31,admin.,married,university.degree,no,yes,no,cellular,aug,thu,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
76,31,admin.,single,university.degree,no,yes,no,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
77,38,self-employed,single,university.degree,no,no,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
78,33,unemployed,married,basic.9y,no,no,no,telephone,jun,fri,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
79,32,technician,single,university.degree,no,no,no,cellular,aug,tue,12,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
80,54,technician,married,professional.course,unknown,yes,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
81,41,admin.,divorced,high.school,no,yes,no,telephone,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
82,59,services,married,basic.4y,unknown,no,no,cellular,aug,thu,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
83,57,retired,married,university.degree,no,yes,no,cellular,apr,thu,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1
84,38,entrepreneur,divorced,university.degree,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8
85,46,admin.,married,university.degree,no,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
86,37,unemployed,single,university.degree,no,yes,yes,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8
87,47,services,single,basic.9y,no,unknown,unknown,telephone,jun,thu,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
88,45,admin.,single,university.degree,no,no,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
89,36,blue-collar,married,basic.6y,no,yes,no,telephone,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
90,40,unemployed,single,high.school,no,yes,no,cellular,jul,mon,5,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
91,38,blue-collar,married,basic.9y,no,no,no,cellular,nov,tue,2,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8
92,44,blue-collar,married,high.school,unknown,no,no,telephone,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
93,25,self-employed,married,university.degree,no,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
94,30,blue-collar,single,basic.6y,no,yes,no,telephone,jul,tue,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
95,43,management,married,professional.course,no,no,no,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8
96,58,retired,married,basic.6y,unknown,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
97,31,technician,married,professional.course,no,yes,no,telephone,may,wed,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
98,53,management,married,university.degree,no,no,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
99,52,admin.,married,unknown,no,no,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
100,37,management,married,university.degree,unknown,no,yes,cellular,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1
101,58,admin.,married,high.school,unknown,yes,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
102,37,services,married,high.school,no,yes,yes,cellular,may,thu,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
103,38,admin.,single,unknown,no,yes,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1
104,33,services,single,basic.9y,no,yes,no,cellular,apr,thu,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1
105,45,services,married,high.school,unknown,yes,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
106,44,entrepreneur,married,professional.course,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0
107,38,blue-collar,married,basic.6y,no,yes,no,telephone,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1
108,34,blue-collar,married,basic.9y,no,no,no,telephone,jun,tue,1,999,0,nonexistent,-1.7,94.055,-39.8,0.702,4991.6
109,47,management,married,university.degree,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2
110,59,admin.,married,university.degree,no,yes,yes,cellular,jul,wed,1,999,0,nonexistent,-2.9,92.469,-33.6,1.085,5076.2
111,51,blue-collar,married,basic.4y,unknown,yes,yes,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
112,31,blue-collar,married,basic.6y,no,yes,no,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
113,56,management,married,university.degree,no,yes,yes,cellular,nov,wed,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8
114,39,admin.,married,university.degree,no,no,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
115,41,entrepreneur,married,university.degree,no,yes,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8
116,41,management,divorced,basic.6y,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8
117,53,services,married,high.school,unknown,no,no,telephone,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
118,35,blue-collar,married,high.school,no,no,yes,cellular,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
119,58,retired,married,basic.9y,no,no,yes,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
120,25,self-employed,married,professional.course,no,yes,no,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
121,35,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,tue,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1
122,28,services,single,high.school,no,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
123,55,blue-collar,married,professional.course,no,yes,yes,cellular,may,fri,3,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1
124,54,entrepreneur,married,basic.4y,unknown,no,yes,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
125,45,technician,divorced,basic.9y,unknown,no,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
126,32,blue-collar,married,basic.9y,no,yes,no,cellular,apr,thu,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1
127,50,admin.,married,basic.9y,unknown,yes,no,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
128,75,retired,married,basic.4y,no,no,no,cellular,apr,tue,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1
129,33,self-employed,divorced,unknown,no,no,no,telephone,may,wed,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0
130,29,management,married,university.degree,no,no,yes,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
131,45,management,married,university.degree,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
132,38,admin.,divorced,university.degree,no,no,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1
133,24,services,single,professional.course,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0
134,41,technician,married,professional.course,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
135,58,retired,divorced,high.school,no,yes,no,cellular,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2
136,34,admin.,married,university.degree,no,no,yes,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
137,34,admin.,married,university.degree,no,no,no,cellular,nov,mon,2,999,0,nonexistent,-1.1,94.767,-50.8,1.05,4963.6
138,37,technician,divorced,professional.course,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
139,53,blue-collar,divorced,basic.4y,no,no,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
140,54,technician,divorced,professional.course,no,yes,yes,cellular,jul,tue,14,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
141,32,technician,divorced,professional.course,no,yes,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8
142,42,admin.,married,high.school,no,yes,no,cellular,jul,fri,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
143,28,technician,single,professional.course,no,yes,no,cellular,aug,thu,2,3,1,success,-2.9,92.201,-31.4,0.851,5076.2
144,33,services,single,high.school,no,yes,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0
145,41,blue-collar,married,basic.9y,no,yes,no,cellular,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
146,31,services,married,high.school,no,no,yes,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8
147,40,technician,married,basic.9y,unknown,no,yes,telephone,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
148,53,unknown,married,basic.9y,no,no,yes,cellular,nov,wed,1,999,1,failure,-3.4,92.649,-30.1,0.716,5017.5
149,40,admin.,divorced,university.degree,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
150,82,housemaid,married,basic.4y,no,no,no,telephone,sep,tue,3,3,2,success,-1.1,94.199,-37.5,0.877,4963.6
151,28,blue-collar,married,basic.4y,no,yes,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
152,30,admin.,married,high.school,unknown,yes,no,cellular,nov,wed,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8
153,31,unemployed,single,university.degree,no,yes,no,cellular,jul,tue,1,6,3,success,-1.7,94.215,-40.3,0.835,4991.6
154,32,technician,single,university.degree,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
155,54,blue-collar,married,basic.4y,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
156,31,blue-collar,married,basic.9y,no,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
157,50,services,married,unknown,no,yes,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
158,47,technician,single,unknown,no,no,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
159,31,admin.,single,high.school,no,yes,yes,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
160,32,unemployed,married,high.school,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8
161,46,admin.,single,high.school,no,yes,no,cellular,nov,mon,2,999,2,failure,-1.1,94.767,-50.8,1.048,4963.6
162,47,admin.,single,high.school,no,no,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
163,32,admin.,single,high.school,no,no,no,cellular,nov,mon,2,999,2,failure,-1.1,94.767,-50.8,1.048,4963.6
164,52,services,divorced,high.school,unknown,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8
165,45,admin.,married,high.school,no,yes,no,cellular,oct,fri,3,6,1,success,-1.1,94.601,-49.5,1.029,4963.6
166,32,admin.,married,university.degree,no,yes,no,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1
167,71,blue-collar,divorced,basic.4y,unknown,no,no,cellular,aug,thu,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6
168,49,services,married,high.school,no,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
169,46,admin.,married,high.school,no,yes,yes,telephone,jun,wed,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
170,46,blue-collar,married,professional.course,no,no,no,cellular,nov,fri,1,999,0,nonexistent,-1.1,94.767,-50.8,1.028,4963.6
171,38,admin.,married,university.degree,no,yes,no,cellular,aug,tue,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
172,57,services,married,professional.course,unknown,no,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
173,41,services,single,high.school,unknown,unknown,unknown,cellular,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1
174,44,technician,married,professional.course,no,no,no,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0
175,47,technician,married,university.degree,no,yes,no,cellular,aug,wed,7,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
176,40,blue-collar,married,basic.9y,no,yes,yes,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0
177,57,retired,single,professional.course,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
178,27,admin.,single,unknown,no,no,no,cellular,mar,tue,1,3,1,success,-1.8,93.369,-34.8,0.637,5008.7
179,52,blue-collar,married,basic.9y,no,no,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
180,34,management,married,university.degree,no,yes,yes,telephone,jun,wed,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2
181,42,entrepreneur,married,university.degree,no,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
182,51,technician,married,unknown,no,yes,no,telephone,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
183,45,management,married,basic.4y,unknown,yes,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
184,56,retired,married,high.school,no,no,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
185,41,management,married,university.degree,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
186,44,admin.,married,high.school,no,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
187,50,blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,3,3,1,success,-1.8,92.893,-46.2,1.354,5099.1
188,54,self-employed,married,high.school,no,no,no,cellular,aug,tue,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
189,51,blue-collar,married,basic.6y,no,no,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
190,30,blue-collar,single,basic.9y,no,no,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8
191,42,housemaid,married,basic.4y,unknown,yes,no,telephone,jun,fri,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
192,41,technician,married,professional.course,unknown,yes,no,telephone,jun,mon,11,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
193,47,services,single,basic.9y,no,no,no,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8
194,35,blue-collar,married,basic.6y,no,yes,no,cellular,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1
195,58,blue-collar,married,basic.9y,no,no,no,cellular,nov,tue,1,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8
196,50,blue-collar,divorced,high.school,no,yes,yes,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
197,41,technician,married,professional.course,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
198,38,technician,married,university.degree,no,yes,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
199,32,student,single,university.degree,no,no,no,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8
200,21,student,single,high.school,no,no,no,cellular,aug,tue,1,999,1,failure,-2.9,92.201,-31.4,0.884,5076.2
201,46,admin.,divorced,basic.9y,unknown,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
202,42,self-employed,married,university.degree,no,yes,no,cellular,nov,fri,3,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8
203,55,services,married,basic.9y,no,no,no,cellular,aug,wed,13,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
204,29,admin.,single,high.school,no,yes,no,telephone,nov,mon,1,6,1,success,-1.1,94.767,-50.8,1.05,4963.6
205,30,blue-collar,single,basic.6y,unknown,yes,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
206,53,management,married,basic.4y,no,yes,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8
207,35,management,married,university.degree,no,yes,no,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8
208,46,services,married,professional.course,no,yes,no,telephone,may,tue,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
